['ALF de Mel', 12.93, 55.16, 'Fast', 1982, 1986, 1, 1.2, 0]
['G Wijekoon', 21.33, 39.69, 'PartMed', 2005, 2005, 0.8172043010752689, 1.1205432937181663, 0]
['WU Tharanga', 29.36, 100, 'OpenBat', 2005, 2017, 1.0921544209215441, 1.2, 0]
['CK Kapugedera', 23.32, 100, 'Bat', 2006, 2009, 1.063613231552163, 1.2, 0]
['LPC Silva', 28.04, 56.24, 'Bat', 2006, 2008, 1.2576112412177987, 1.2, 0]
['SM Warnapura', 28.75, 42.25, 'OpenBat', 2007, 2009, 1.1628895184135977, 1.2, 0]
['UWMBCA Welegedara', 7.73, 43.32, 'Fast', 2007, 2014, 1.0307328605200945, 1.1360417964754215, 0]
['MKDI Amerasinghe', 3.72, 38.75, 'Fast', 2008, 2008, 1, 1.2, 0]
['BAW Mendis', 11.79, 33.73, 'Spin', 2008, 2014, 0.9362637362637363, 0.9801671197020034, 0]
['KTGD Prasad', 11.9, 39.29, 'Fast', 2008, 2015, 1.072072072072072, 1.1914522793480133, 0]
['NT Paranavitana', 30.07, 66.74, 'OpenBat', 2009, 2012, 0.8385587271876462, 1.2, 0]
['AD Mathews', 41.99, 51.96, 'PartMed', 2009, 2020, 0.972599398325067, 0.8630154600935718, 34]
['S Randiv', 10.67, 34.36, 'Spin', 2010, 2012, 0.6125, 0.9765991584173401, 0]
['RAS Lakmal', 10.89, 35.1, 'Fast', 2010, 2020, 0.9687137891077636, 0.9791249384906472, 5]
['NLTC Perera', 16.96, 58.98, 'Fast', 2011, 2012, 1.460431654676259, 1.2, 0]
['HDRL Thirimanne', 21.24, 100, 'Bat', 2011, 2019, 0.7593293672255274, 1.1675824175824174, 0]
['S Prasanna', 12.21, 33.18, 'Spin', 2011, 2011, 1, 1.1042097998619738, 0]
['RMS Eranga', 10.35, 37.53, 'Fast', 2011, 2016, 0.8230277185501066, 1.0533031498099572, 0]
['N Pradeep', 3.65, 40.27, 'Fast', 2011, 2017, 0.7313019390581718, 1.1338486351717105, 0]
['JK Silva', 26.29, 100, 'OpenBat', 2011, 2018, 0.8054489639293937, 1.2, 0]
['CKB Kulasekara', 14.63, 47.07, 'Fast', 2011, 2011, 1, 0.9070294784580498, 0]
['LD Chandimal', 38.67, 100, 'WK', 2011, 2020, 0.9738759105752324, 1.2, 17]
['FDM Karunaratne', 34.85, 100, 'OpenBat', 2012, 2020, 0.9767893770916549, 1.2, 8]
['KDK Vithanage', 23.19, 100, 'Bat', 2013, 2015, 1.5289256198347108, 1.2, 0]
['SMSM Senanayake', 13.16, 33.22, 'Spin', 2014, 2014, 1, 1.2, 0]
['MDK Perera', 17.61, 33.48, 'Spin', 2014, 2019, 0.945226917057903, 1.0412245848891462, 0]
['N Dickwella', 29.24, 100, 'WK', 2014, 2020, 1.345709281961471, 1.2, 0]
['PHT Kaushal', 11.24, 38.59, 'Spin', 2014, 2015, 0.8688524590163934, 1.2, 0]
['PVD Chameera', 3.64, 43.03, 'Fast', 2015, 2019, 0.5542168674698795, 1.2, 0]
['MDKJ Perera', 28.56, 100, 'WK', 2015, 2019, 1.4790182106096594, 1.2, 0]
['TAM Siriwardana', 28.1, 39.98, 'Spin', 2015, 2016, 1.3127753303964758, 1.2, 0]
['BKG Mendis', 35.03, 100, 'Bat', 2015, 2020, 1.1119361425654353, 1.2, 0]
['MDUS Jayasundera', 21.46, 60.51, 'Bat', 2015, 2015, 0.7792207792207793, 1.2, 0]
['MD Shanaka', 24.47, 39.37, 'Med', 2016, 2017, 1, 1.1507090895730765, 0]
['DM de Silva', 33.3, 39.65, 'PartSpin', 2016, 2020, 1.1332116788321167, 1.2, 0]
['PADLR Sandakan', 5.1, 33.59, 'Spin', 2016, 2018, 0.8540145985401459, 1.193279851868708, 0]
['MVT Fernando', 3.82, 38.39, 'Fast', 2016, 2020, 0.5373134328358209, 1.2, 0]
['DAS Gunaratne', 37.15, 40.36, 'PartFast', 2016, 2017, 1.056910569105691, 1.2, 0]
['CBRLS Kumara', 3.11, 37.8, 'Fast', 2016, 2020, 0.5842696629213483, 1.2, 0]
['MD Gunathilaka', 17.38, 39.71, 'OpenPartSpin', 2017, 2018, 1.001675041876047, 1.2, 0]
['PM Pushpakumara', 5.91, 31.6, 'Spin', 2017, 2018, 0.9107142857142857, 1.2, 0]
['PLS Gamage', 2.68, 40.31, 'Fast', 2017, 2018, 0.5, 1.136664198053322, 0]
['S Samarawickrama', 20.59, 100, 'OpenBat', 2017, 2017, 1.4124293785310735, 1.2, 0]
['ARS Silva', 31.44, 100, 'Bat', 2017, 2019, 0.8200934579439252, 1.2, 0]
['A Dananjaya', 13.34, 34.84, 'Spin', 2018, 2019, 1.062992125984252, 1.2, 0]
['CAK Rajitha', 2.81, 39.99, 'Fast', 2018, 2020, 0.5, 1.2, 0]
['ML Udawatte', 21.66, 100, 'OpenBat', 2018, 2018, 0.6388888888888888, 1.2, 0]
['C Karunaratne', 12.23, 44.91, 'Fast', 2019, 2019, 1, 1.2, 0]
['L Embuldeniya', 3.63, 33.16, 'Spin', 2019, 2020, 0.6222222222222222, 1.2, 0]
['BOP Fernando', 29.88, 100, 'OpenBat', 2019, 2020, 1.0, 1.2, 0]
